"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"INO80D","INO80D","1 M impr clstr","bi",0,1,11,87,1,100,0,8,3,7,"0.00 (0/7)","chr 2",206858444,206951027,"protein_coding",121387,"nearby candidate",4,"clus 4 (chr 2)",0
"EIF1AD","EIF1AD","_","bi",0,1,6.1,86.8,6.1,98,0,22,1,6,"0.00 (0/6)","chr 11",65764015,65769647,"protein_coding",97726,"distant candidate",-21,"inter clus 21",0
"CEBPZ","CEBPZ","_","bi",0,1,2,83.9,13.1,99,0,24,1,1,"0.00 (0/1)","chr 2",37428754,37458856,"protein_coding",87538,"distant candidate",-2,"inter clus 2",0
"RP11-706J10.2","RP11-706J10.2","_","bi",0,1,5.9,83.3,9.8,102,0,8,0,1,"0.00 (0/1)","chr 8",77316232,77317326,"lincRNA",55354,"distant candidate",-15,"inter clus 15",0
"CBY1","CBY1","_","bi",0,1,9.2,82.7,7.1,98,0,10,1,3,"0.00 (0/3)","chr 22",39052640,39069859,"protein_coding",70612,"distant candidate",-36,"inter clus 36",0
"FAM228B","FAM228B","_","bi",0,1,11.9,82.1,5,101,0,42,0,8,"0.00 (0/8)","chr 2",24299395,24392509,"protein_coding",136491,"distant candidate",-2,"inter clus 2",0
"SLIT3","SLIT3","_","bi",0,1,15.2,80.8,3,99,0,4,3,8,"0.00 (0/8)","chr 5",168088744,168728133,"protein_coding",148705,"distant candidate",-6,"inter clus 6",0
"RP4-751H13.7","RP4-751H13.7","_","bi",0,1,16.7,79.2,3.1,96,0,1,1,4,"0.00 (0/4)","chr 7",149555488,149559581,"antisense",69889,"distant candidate",-14,"inter clus 14",0
"KIAA0391","KIAA0391","_","bi",0,1,4.5,75.4,19.1,199,0,24,1,2,"0.00 (0/2)","chr 14",35591051,35786680,"protein_coding",79728,"distant candidate",-26,"inter clus 26",0
"PPP2R3C","PPP2R3C","_","bi",0,1,4.5,75.4,19.1,199,0,33,1,1,"0.00 (0/1)","chr 14",35554672,35591723,"protein_coding",55307,"distant candidate",-26,"inter clus 26",0
"WBP11","WBP11","_","bi",0,1,7,71.5,20.5,200,0,14,1,1,"0.00 (0/1)","chr 12",14939409,14956474,"protein_coding",48492,"distant candidate",-25,"inter clus 25",0
"PLXNA2","PLXNA2","_","bi",0,1,4.5,45.8,48.7,398,0,15,5,16,"0.00 (0/16)","chr 1",208195586,208417665,"protein_coding",261803,"distant candidate",-2,"inter clus 2",0
"SPAG1","SPAG1","_","bi",0,0.9,8.4,89.8,0.9,107,0,4,2,3,"0.00 (0/3)","chr 8",101170133,101271506,"protein_coding",69276,"distant candidate",-15,"inter clus 15",0
"PRKAR2A","PRKAR2A","_","bi",0,0.9,9.6,87.7,1.8,114,0,8,1,2,"0.00 (0/2)","chr 3",48782029,48885279,"protein_coding",74668,"distant candidate",-4,"inter clus 4",0
"NUB1","NUB1","_","bi",0,0.9,8.3,87.1,3.7,109,0,29,2,7,"0.00 (0/7)","chr 7",151038784,151075535,"protein_coding",102044,"distant candidate",-14,"inter clus 14",0
"SLC44A2","SLC44A2","1 M impr clstr","bi",0,0.9,7,86,6.1,115,0,16,1,1,"0.00 (0/1)","chr 19",10713132,10755235,"protein_coding",78972,"nearby candidate",31,"clus 31 (chr 19)",0
"TMEM136","TMEM136","_","bi",0,0.9,9,85.4,4.7,212,0,10,3,4,"0.00 (0/4)","chr 11",120195837,120204391,"protein_coding",78201,"distant candidate",-23,"inter clus 23",0
"COG1","COG1","_","bi",0,0.9,7.8,83.5,7.8,116,0,18,3,6,"0.00 (0/6)","chr 17",71189128,71204646,"protein_coding",115120,"distant candidate",-29,"inter clus 29",0
"RP11-143K11.5","RP11-143K11.5","_","bi",0,0.9,7.8,83.5,7.8,116,0,2,1,1,"0.00 (0/1)","chr 17",71161115,71192732,"processed_transcript",47830,"distant candidate",-29,"inter clus 29",0
"P2RX6","P2RX6","_","bi",0,0.9,12.1,81.8,5.2,116,0,5,4,7,"0.00 (0/7)","chr 22",21364096,21383119,"protein_coding",124007,"distant candidate",-36,"inter clus 36",0
"FBXO16","FBXO16","_","bi",0,0.9,6.3,81.1,11.7,111,0,10,1,4,"0.00 (0/4)","chr 8",28205803,28347835,"protein_coding",93622,"distant candidate",-15,"inter clus 15",0
"FASTKD3","FASTKD3","_","bi",0,0.9,7.8,80.9,10.4,115,0,10,2,5,"0.00 (0/5)","chr 5",7859271,7869150,"protein_coding",90607,"distant candidate",-5,"inter clus 5",0
"ZNF487","ZNF487","_","bi",0,0.9,11.9,80.8,6.4,109,0,12,0,3,"0.00 (0/3)","chr 10",43932281,43991517,"protein_coding",86457,"distant candidate",-18,"inter clus 18",0
"AMIGO3","AMIGO3","_","bi",0,0.9,10.7,77.7,10.7,112,0,1,0,1,"0.00 (0/1)","chr 3",49754266,49761349,"protein_coding",54649,"distant candidate",-4,"inter clus 4",0
"GMPPB","GMPPB","_","bi",0,0.9,10.7,77.7,10.7,112,0,5,0,1,"0.00 (0/1)","chr 3",49754276,49761384,"protein_coding",48163,"distant candidate",-4,"inter clus 4",0
"ZFP90","ZFP90","_","bi",0,0.9,13.2,76.5,9.4,106,0,27,1,10,"0.00 (0/10)","chr 16",68563992,68609975,"protein_coding",164833,"distant candidate",-29,"inter clus 29",0
"ATP9B","ATP9B","_","bi",0,0.9,13.4,75.8,9.9,344,0,111,5,18,"0.00 (0/16)","chr 18",76829284,77138283,"protein_coding",286484,"distant candidate",-30,"inter clus 30",0
"TOR3A","TOR3A","_","bi",0,0.9,10.3,75.7,13.1,107,0,8,2,3,"0.00 (0/3)","chr 1",179050511,179067158,"protein_coding",63275,"distant candidate",-2,"inter clus 2",0
"RAB18","RAB18","_","bi",0,0.9,6.6,74.1,18.4,228,0,99,0,3,"0.00 (0/3)","chr 10",27793196,27831143,"protein_coding",140897,"distant candidate",-18,"inter clus 18",0
"MXD4","MXD4","_","bi",0,0.9,15.8,71.9,11.4,114,0,13,2,9,"0.00 (0/9)","chr 4",2249158,2264021,"protein_coding",130547,"distant candidate",-4,"inter clus 4",0
"SGTA","SGTA","_","bi",0,0.9,5.8,54.8,38.5,226,0,15,1,5,"0.00 (0/5)","chr 19",2754711,2783369,"protein_coding",110368,"distant candidate",-30,"inter clus 30",0
"PHF13","PHF13","_","bi",0,0.8,4.1,91.8,3.3,121,0,4,2,3,"0.00 (0/3)","chr 1",6673744,6684093,"protein_coding",70528,"distant candidate",-1,"inter clus 1",0
"THOC5","THOC5","_","bi",0,0.8,6,91.7,1.5,133,0,16,4,6,"0.00 (0/6)","chr 22",29901867,29951205,"protein_coding",100029,"distant candidate",-36,"inter clus 36",0
"UBQLN1","UBQLN1","_","bi",0,0.8,10.8,86.1,2.3,130,0,102,4,11,"0.00 (0/11)","chr 9",86274877,86323118,"protein_coding",168556,"distant candidate",-18,"inter clus 18",0
"KLHL29","KLHL29","_","bi",0,0.8,7.3,85.4,6.5,123,0,4,2,7,"0.00 (0/7)","chr 2",23608087,23931481,"protein_coding",118477,"distant candidate",-2,"inter clus 2",0
"VKORC1L1","VKORC1L1","_","bi",0,0.8,9.2,85.4,4.6,130,0,12,0,3,"0.00 (0/3)","chr 7",65338253,65424550,"protein_coding",112427,"distant candidate",-11,"inter clus 11",0
"ZFAT","ZFAT","known_imprinted","bi",0,0.8,8.5,83.7,7,129,0,9,6,8,"0.00 (0/8)","chr 8",135490030,135725292,"protein_coding",121600,"known imprinted",16,"clus 16 (chr 8)",0
"VWC2L","VWC2L","_","bi",0,0.8,10.9,82.1,6.2,129,0,6,0,3,"0.00 (0/3)","chr 2",215275788,215443683,"protein_coding",64110,"distant candidate",-4,"inter clus 4",0
"ABCA1","ABCA1","_","bi",0,0.8,9.1,78.7,11.4,254,0,7,11,18,"0.00 (0/18)","chr 9",107543282,107690518,"protein_coding",212081,"distant candidate",-18,"inter clus 18",0
"UGDH","UGDH","_","bi",0,0.8,14.4,78.4,6.4,125,0,8,3,11,"0.00 (0/11)","chr 4",39500374,39529931,"protein_coding",134111,"distant candidate",-4,"inter clus 4",0
"RNPC3","RNPC3","_","bi",0,0.8,7.4,77.8,14,121,0,33,1,3,"0.00 (0/3)","chr 1",104068312,104097861,"protein_coding",79585,"distant candidate",-2,"inter clus 2",0
"PRKACB","PRKACB","_","bi",0,0.8,4.8,76.9,17.5,126,0,339,0,3,"0.00 (0/3)","chr 1",84543744,84704181,"protein_coding",105122,"distant candidate",-2,"inter clus 2",0
"WDSUB1","WDSUB1","_","bi",0,0.8,11.8,76.9,10.5,237,0,9,3,6,"0.00 (0/6)","chr 2",160092303,160143310,"protein_coding",100298,"distant candidate",-3,"inter clus 3",0
"DHX30","DHX30","_","bi",0,0.8,6.7,75.7,16.8,119,0,31,1,3,"0.00 (0/3)","chr 3",47844398,47891685,"protein_coding",64049,"distant candidate",-4,"inter clus 4",0
"EXOSC5","EXOSC5","_","bi",0,0.8,5.5,74.9,18.8,128,0,13,1,1,"0.00 (0/1)","chr 19",41892278,41903384,"protein_coding",56027,"distant candidate",-31,"inter clus 31",0
"METTL13","METTL13","_","bi",0,0.8,8,73.1,18.1,238,0,12,4,5,"0.00 (0/5)","chr 1",171750787,171783163,"protein_coding",136847,"distant candidate",-2,"inter clus 2",0
"HSPE1","HSPE1","_","bi",0,0.8,20,71.7,7.5,120,0,42,0,1,"1.00 (1/1)","chr 2",198364717,198368181,"protein_coding",55055,"distant candidate",-3,"inter clus 3",0
"MANBA","MANBA","_","bi",0,0.8,6.4,65,27.8,266,0,12,5,7,"0.00 (0/7)","chr 4",103552659,103682151,"protein_coding",105545,"distant candidate",-5,"inter clus 5",0
"SFT2D2","SFT2D2","_","bi",0,0.8,3.2,63.9,32.1,252,0,6,1,8,"0.00 (0/8)","chr 1",168195175,168222263,"protein_coding",139217,"distant candidate",-2,"inter clus 2",0
"LTN1","LTN1","_","bi",0,0.8,4.6,58.2,36.4,261,0,24,3,4,"0.00 (0/4)","chr 21",30300465,30365270,"protein_coding",111211,"distant candidate",-35,"inter clus 35",0
"ZNF236","ZNF236","_","bi",0,0.7,7.8,87.2,4.3,141,0,18,4,7,"0.00 (0/7)","chr 18",74534562,74682683,"protein_coding",120689,"distant candidate",-30,"inter clus 30",0
"ZNFX1","ZNFX1","_","bi",0,0.7,10.1,85.6,3.6,139,0,8,2,3,"0.00 (0/3)","chr 20",47854482,47894963,"protein_coding",120924,"distant candidate",-34,"inter clus 34",0
"AC079117.1","AC079117.1","_","bi",0,0.7,9.6,83.8,5.9,135,0,6,0,6,"0.00 (0/6)","chr 2",77213090,77236917,"antisense",85500,"distant candidate",-2,"inter clus 2",0
"EPHA3","EPHA3","_","bi",0,0.7,8,83.3,8,138,0,7,3,9,"0.00 (0/9)","chr 3",89156673,89531284,"protein_coding",134315,"distant candidate",-4,"inter clus 4",0
"DDX27","DDX27","_","bi",0,0.7,9.2,83.1,7,142,0,11,2,2,"0.00 (0/2)","chr 20",47835883,47860614,"protein_coding",88405,"distant candidate",-34,"inter clus 34",0
"MAVS","MAVS","_","bi",0,0.7,9.9,81.7,7.7,142,0,5,4,8,"0.00 (0/8)","chr 20",3827486,3849280,"protein_coding",131414,"distant candidate",-32,"inter clus 32",0
"C15orf57","C15orf57","_","bi",0,0.7,11.7,81,6.6,137,0,15,3,6,"0.00 (0/6)","chr 15",40820881,40857256,"protein_coding",130062,"distant candidate",-28,"inter clus 28",0
"RP11-111A22.1","RP11-111A22.1","_","bi",0,0.7,11.7,81,6.6,137,0,1,2,3,"0.00 (0/3)","chr 15",40780239,40850183,"antisense",77088,"distant candidate",-28,"inter clus 28",0
"C16orf89","C16orf89","_","bi",0,0.7,9.9,80.8,8.6,151,0,8,1,3,"0.00 (0/3)","chr 16",5094122,5116111,"protein_coding",62991,"distant candidate",-29,"inter clus 29",0
"PRRT3","PRRT3","_","bi",0,0.7,4.3,80.8,14.2,141,0,7,2,3,"0.00 (0/3)","chr 3",9987225,9994078,"protein_coding",85737,"distant candidate",-4,"inter clus 4",0
"RP11-400F19.6","RP11-400F19.6","_","bi",0,0.7,13.3,80.7,5.3,150,0,2,0,7,"0.00 (0/7)","chr 17",40704455,40706766,"antisense",99166,"distant candidate",-29,"inter clus 29",0
"PPP1R15A","PPP1R15A","_","bi",0,0.7,10.1,79.8,9.4,138,0,10,7,11,"0.00 (0/11)","chr 19",49375648,49379314,"protein_coding",142129,"distant candidate",-31,"inter clus 31",0
"ZNF606","ZNF606","_","bi",0,0.7,8.1,79.1,12.1,149,0,12,2,11,"0.00 (0/11)","chr 19",58488420,58514717,"protein_coding",168570,"distant candidate",-32,"inter clus 32",0
"GRIA4","GRIA4","_","bi",0,0.7,9.9,78.1,11.3,142,0,130,2,9,"0.00 (0/9)","chr 11",105480720,105852819,"protein_coding",136909,"distant candidate",-22,"inter clus 22",0
"EFNA1","EFNA1","_","bi",0,0.7,5,77.2,17.1,140,0,9,3,3,"0.00 (0/3)","chr 1",155099935,155107333,"protein_coding",70856,"distant candidate",-2,"inter clus 2",0
"SPATA2L","SPATA2L","_","bi",0,0.7,12,76,11.3,142,0,7,1,6,"0.00 (0/6)","chr 16",89762750,89768113,"protein_coding",94504,"distant candidate",-29,"inter clus 29",0
"SLC17A6","SLC17A6","_","bi",0,0.7,9.4,74.8,15.1,139,0,8,0,4,"0.00 (0/4)","chr 11",22359642,22401049,"protein_coding",91583,"distant candidate",-20,"inter clus 20",0
"ZNF490","ZNF490","_","bi",0,0.7,8.4,69.8,21.1,285,0,8,2,5,"0.00 (0/5)","chr 19",12688774,12750912,"protein_coding",84409,"distant candidate",-31,"inter clus 31",0
"ERAP1","ERAP1","_","bi",0,0.7,5.5,53.7,40.1,436,0,10,13,26,"0.00 (0/26)","chr 5",96096520,96143803,"protein_coding",280631,"distant candidate",-5,"inter clus 5",0
"PGLS","PGLS","_","bi",0,0.6,6.4,87.8,5.2,172,0,10,1,2,"0.00 (0/2)","chr 19",17622437,17632097,"protein_coding",55364,"distant candidate",-31,"inter clus 31",0
"PELO","PELO","_","bi",0,0.6,8.5,82.4,8.5,165,0,9,0,5,"0.00 (0/5)","chr 5",52083773,52099880,"protein_coding",92838,"distant candidate",-5,"inter clus 5",0
"NFXL1","NFXL1","_","bi",0,0.6,4,81.3,14.1,177,0,10,2,2,"0.00 (0/2)","chr 4",47849256,47916653,"protein_coding",78050,"distant candidate",-4,"inter clus 4",0
"FBXO17","FBXO17","_","bi",0,0.6,11.8,81.1,6.5,170,0,5,1,8,"0.00 (0/8)","chr 19",39432043,39466550,"protein_coding",107561,"distant candidate",-31,"inter clus 31",0
"ERCC4","ERCC4","_","bi",0,0.6,15.2,80,4.2,165,0,8,1,10,"0.00 (0/10)","chr 16",14014013,14046202,"protein_coding",127091,"distant candidate",-29,"inter clus 29",0
"VPS11","VPS11","_","bi",0,0.6,6.9,79.4,13.1,175,0,15,3,4,"0.00 (0/4)","chr 11",118938402,118952688,"protein_coding",92064,"distant candidate",-23,"inter clus 23",0
"PRPF4B","PRPF4B","1 M impr clstr","bi",0,0.6,8,78.8,12.6,174,0,29,2,7,"0.00 (0/7)","chr 6",4021500,4065217,"protein_coding",128819,"nearby candidate",7,"clus 7 (chr 6)",0
"SLC18A2","SLC18A2","_","bi",0,0.6,8.4,76.6,14.4,167,0,7,0,7,"0.00 (0/7)","chr 10",119000603,119038941,"protein_coding",101826,"distant candidate",-18,"inter clus 18",0
"GTF3C5","GTF3C5","_","bi",0,0.6,7.3,75.6,16.5,164,0,14,1,4,"0.00 (0/4)","chr 9",135906075,135933890,"protein_coding",83691,"distant candidate",-18,"inter clus 18",0
"CFH","CFH","_","bi",0,0.6,5.6,73.1,20.7,179,0,13,4,6,"0.00 (0/6)","chr 1",196621007,196716634,"protein_coding",102735,"distant candidate",-2,"inter clus 2",0
"RYR2","RYR2","_","bi",0,0.6,4.5,72.6,22.3,157,0,154,5,8,"0.00 (0/8)","chr 1",237205504,237997288,"protein_coding",161331,"distant candidate",-2,"inter clus 2",0
"MIR3916","MIR3916","_","bi",0,0.6,2.5,67,29.9,157,1,19,1,5,"0.00 (0/5)","chr 1",247353152,247374158,"miRNA",92918,"distant candidate",-2,"inter clus 2",0
"TIMMDC1","TIMMDC1","_","bi",0,0.6,2.5,45.9,51,157,0,53,0,1,"0.00 (0/1)","chr 3",119217378,119243937,"protein_coding",85864,"distant candidate",-4,"inter clus 4",0
"ZNF260","ZNF260","_","bi",0,0.5,7.6,86.3,5.6,197,0,10,1,7,"0.00 (0/7)","chr 19",37001596,37019562,"protein_coding",107609,"distant candidate",-31,"inter clus 31",0
"USP48","USP48","_","bi",0,0.5,2.8,83.1,13.6,214,0,34,1,3,"0.00 (0/3)","chr 1",22004790,22110099,"protein_coding",90322,"distant candidate",-1,"inter clus 1",0
"ZNF441","ZNF441","_","bi",0,0.5,4.1,80.2,15.2,197,0,18,0,6,"0.00 (0/6)","chr 19",11877814,11894893,"protein_coding",110606,"distant candidate",-31,"inter clus 31",0
"WWC2","WWC2","_","bi",0,0.5,6.1,79.3,14.1,198,0,14,5,7,"0.00 (0/7)","chr 4",184020445,184241930,"protein_coding",112331,"distant candidate",-5,"inter clus 5",0
"ALG11","ALG11","_","bi",0,0.5,8.3,70.4,20.8,216,1,10,1,2,"0.00 (0/2)","chr 13",52586533,52603800,"protein_coding",79875,"distant candidate",-26,"inter clus 26",0
"UTP14C","UTP14C","_","bi",0,0.5,8.3,70.4,20.8,216,1,13,1,2,"0.00 (0/2)","chr 13",52598826,52607736,"protein_coding",95296,"distant candidate",-26,"inter clus 26",0
"NAV1","NAV1","_","bi",0,0.5,3.1,62.7,33.7,193,0,14,4,13,"0.00 (0/13)","chr 1",201592410,201796102,"protein_coding",197185,"distant candidate",-2,"inter clus 2",0
"NCBP2-AS2","NCBP2-AS2","_","bi",0,0.5,4.3,55.8,39.4,208,0,21,1,1,"0.00 (0/1)","chr 3",196669493,196670411,"lincRNA",62121,"distant candidate",-4,"inter clus 4",0
"ASB8","ASB8","_","bi",0,0.5,4.4,41,54.1,183,0,23,1,5,"0.00 (0/5)","chr 12",48541570,48574996,"protein_coding",110148,"distant candidate",-25,"inter clus 25",0
"LIMS1","LIMS1","_","bi",0,0.4,9.7,79.4,10.5,237,0,11,0,6,"0.00 (0/6)","chr 2",109150856,109303702,"protein_coding",89008,"distant candidate",-3,"inter clus 3",0
"ACVR2B","ACVR2B","_","bi",0,0.4,6.8,74.8,18,278,0,5,3,12,"0.00 (0/12)","chr 3",38495341,38534633,"protein_coding",190885,"distant candidate",-4,"inter clus 4",0
"ZBTB25","ZBTB25","_","bi",0,0.4,8,72.4,19.2,224,0,7,0,15,"0.00 (0/15)","chr 14",64915823,64971931,"protein_coding",229801,"distant candidate",-26,"inter clus 26",0
"NAA38","NAA38","_","bi",0,0.4,7.8,67.7,24.1,245,0,18,1,6,"0.00 (0/6)","chr 7",117824085,117832878,"protein_coding",100166,"distant candidate",-13,"inter clus 13",0
"ZNF623","ZNF623","_","bi",0,0.4,7.9,64.6,27.1,240,0,16,2,10,"0.00 (0/10)","chr 8",144718182,144735900,"protein_coding",122663,"distant candidate",-17,"inter clus 17",0
"MCM3AP","MCM3AP","_","bi",0,0.4,0.4,56.9,42.3,246,0,28,3,5,"0.00 (0/5)","chr 21",47655046,47706211,"protein_coding",154128,"distant candidate",-35,"inter clus 35",0
"USP45","USP45","_","bi",0,0.3,7.5,78.4,13.8,334,0,60,6,14,"0.00 (0/14)","chr 6",99880189,99969604,"protein_coding",226114,"distant candidate",-7,"inter clus 7",0
"LRP4","LRP4","_","bi",0,0.3,3,45.6,51.1,305,0,20,2,5,"0.00 (0/5)","chr 11",46878418,46940193,"protein_coding",130950,"distant candidate",-21,"inter clus 21",0
"NADSYN1","NADSYN1","_","bi",0,0,0,100,0,28,0,7,3,7,"0.00 (0/7)","chr 11",71214590,71215524,"protein_coding",129748,"distant candidate",-22,"inter clus 22",0
"NEU3","NEU3","_","bi",0,0,0,100,0,30,0,8,2,2,"0.00 (0/2)","chr 11",74699178,74729938,"protein_coding",54812,"distant candidate",-22,"inter clus 22",0
"KIAA1109","KIAA1109","_","bi",0,0,2.6,97.4,0,39,0,79,1,4,"0.00 (0/4)","chr 4",123073487,123283913,"protein_coding",167249,"distant candidate",-5,"inter clus 5",0
"WDR24","WDR24","_","bi",0,0,2.6,97.4,0,39,0,3,1,2,"0.00 (0/2)","chr 16",734621,740444,"protein_coding",55749,"distant candidate",-28,"inter clus 28",0
"WDR53","WDR53","_","bi",0,0,1.4,97.2,1.4,73,0,5,1,1,"0.00 (0/1)","chr 3",196281055,196295545,"protein_coding",55437,"distant candidate",-4,"inter clus 4",0
"ZMYM2","ZMYM2","_","bi",0,0,2.8,97.2,0,36,0,72,0,5,"0.00 (0/5)","chr 13",20532809,20665968,"protein_coding",94754,"distant candidate",-25,"inter clus 25",0
"CEP128","CEP128","_","bi",0,0,2.9,97.1,0,34,0,5,1,1,"0.00 (0/1)","chr 14",80943329,81425861,"protein_coding",54151,"distant candidate",-26,"inter clus 26",0
"RP11-517B11.7","RP11-517B11.7","_","bi",0,0,3.1,96.9,0,32,0,3,3,5,"0.00 (0/5)","chr 3",131173969,131177442,"sense_overlapping",90612,"distant candidate",-4,"inter clus 4",0
"EFCAB11","EFCAB11","_","bi",0,0,3.3,96.7,0,30,0,10,1,5,"0.00 (0/5)","chr 14",90261012,90421121,"protein_coding",97844,"distant candidate",-26,"inter clus 26",0
"GNB1L","GNB1L","1 M impr clstr","bi",0,0,0,96.6,3.4,29,0,4,0,3,"0.00 (0/3)","chr 22",19770746,19842462,"protein_coding",77240,"nearby candidate",36,"clus 36 (chr 22)",0
"EML3","EML3","_","bi",0,0,3.6,96.4,0,28,0,5,1,4,"0.00 (0/4)","chr 11",62369689,62380237,"protein_coding",76030,"distant candidate",-21,"inter clus 21",0
"DPF3","DPF3","_","bi",0,0,0,96,4,25,0,6,1,2,"0.00 (0/2)","chr 14",73086003,73360809,"protein_coding",87700,"distant candidate",-26,"inter clus 26",0
"GPC6","GPC6","_","bi",0,0,4,96,0,25,0,2,1,4,"0.00 (0/4)","chr 13",93879094,95059655,"protein_coding",84213,"distant candidate",-26,"inter clus 26",0
"MCM7","MCM7","_","bi",0,0,0,96,4,25,0,12,0,2,"0.00 (0/2)","chr 7",99690350,99699563,"protein_coding",63543,"distant candidate",-13,"inter clus 13",0
"PSME4","PSME4","_","bi",0,0,4.8,95.2,0,42,0,18,4,11,"0.00 (0/11)","chr 2",54091203,54197977,"protein_coding",170828,"distant candidate",-2,"inter clus 2",0
"TNS3","TNS3","_","bi",0,0,5,95,0,40,0,17,3,5,"0.00 (0/5)","chr 7",47314751,47622156,"protein_coding",156939,"distant candidate",-10,"inter clus 10",0
"PALM2","PALM2","_","bi",0,0,4,94,2,50,0,33,0,7,"0.00 (0/7)","chr 9",112403067,112713755,"protein_coding",167743,"distant candidate",-18,"inter clus 18",0
"YME1L1","YME1L1","_","bi",0,0,4,94,2,50,0,43,0,7,"0.00 (0/7)","chr 10",27399382,27444195,"protein_coding",151378,"distant candidate",-18,"inter clus 18",0
"FABP6","FABP6","_","bi",0,0,4.6,93.9,1.5,65,0,9,1,1,"0.00 (0/1)","chr 5",159614373,159665742,"protein_coding",52886,"distant candidate",-6,"inter clus 6",0
"TRIM3","TRIM3","_","bi",0,0,6.1,93.9,0,49,0,14,3,4,"0.00 (0/4)","chr 11",6469842,6495689,"protein_coding",78069,"distant candidate",-20,"inter clus 20",0
"CDPF1","CDPF1","_","bi",0,0,6.2,93.8,0,32,0,5,0,2,"0.00 (0/2)","chr 22",46639907,46646576,"protein_coding",59602,"distant candidate",-36,"inter clus 36",0
"DSCAML1","DSCAML1","_","bi",0,0,6.2,93.8,0,32,0,3,6,6,"0.00 (0/6)","chr 11",117298488,117688240,"protein_coding",91678,"distant candidate",-23,"inter clus 23",0
"PTPN2","PTPN2","_","bi",0,0,6.2,93.8,0,32,0,18,0,7,"0.00 (0/7)","chr 18",12785476,12929642,"protein_coding",139656,"distant candidate",-29,"inter clus 29",0
"ARHGEF26","ARHGEF26","_","bi",0,0,3.2,93.6,3.2,31,0,9,1,6,"0.00 (0/6)","chr 3",153838791,153975616,"protein_coding",127449,"distant candidate",-4,"inter clus 4",0
"POLD3","POLD3","_","bi",0,0,6.5,93.5,0,31,0,9,0,3,"0.00 (0/3)","chr 11",74204895,74380162,"protein_coding",93284,"distant candidate",-22,"inter clus 22",0
"BCL10","BCL10","_","bi",0,0,6.7,93.3,0,30,0,5,1,8,"0.00 (0/8)","chr 1",85731930,85742773,"protein_coding",116466,"distant candidate",-2,"inter clus 2",0
"LCORL","LCORL","_","bi",0,0,6.8,93.2,0,44,0,20,1,6,"0.00 (0/6)","chr 4",17842821,18023499,"protein_coding",137358,"distant candidate",-4,"inter clus 4",0
"LIN52","LIN52","_","bi",0,0,6.9,93.1,0,29,0,15,2,7,"0.00 (0/7)","chr 14",74551498,74667936,"protein_coding",103215,"distant candidate",-26,"inter clus 26",0
"LINC01114","LINC01114","_","bi",0,0,7.1,92.9,0,28,0,3,0,2,"0.00 (0/2)","chr 2",105363095,105374177,"lincRNA",84027,"distant candidate",-3,"inter clus 3",0
"TMEM229A","TMEM229A","_","bi",0,0,3.6,92.8,3.6,28,0,3,0,1,"0.00 (0/1)","chr 7",123670972,123673523,"protein_coding",47332,"distant candidate",-13,"inter clus 13",0
"ABCB6","ABCB6","_","bi",0,0,7.4,92.6,0,27,0,14,0,1,"0.00 (0/1)","chr 2",220074489,220083712,"protein_coding",63260,"distant candidate",-4,"inter clus 4",0
"ATG9A","ATG9A","_","bi",0,0,7.4,92.6,0,27,0,22,1,2,"0.00 (0/2)","chr 2",220074493,220094439,"protein_coding",115953,"distant candidate",-4,"inter clus 4",0
"SLC25A19","SLC25A19","_","bi",0,0,5.6,92.5,1.9,54,0,6,1,4,"0.00 (0/4)","chr 17",73269072,73285591,"protein_coding",76749,"distant candidate",-29,"inter clus 29",0
"UNC50","UNC50","_","bi",0,0,5,92.5,2.5,40,0,31,2,2,"0.00 (0/2)","chr 2",99225041,99234978,"protein_coding",64006,"distant candidate",-3,"inter clus 3",0
"ZNF197","ZNF197","_","bi",0,0,4.3,92.5,3.2,93,0,16,0,3,"0.00 (0/3)","chr 3",44626379,44689963,"protein_coding",78495,"distant candidate",-4,"inter clus 4",0
"PPP1R3E","PPP1R3E","_","bi",0,0,5.7,92.4,1.9,53,0,14,1,6,"0.00 (0/6)","chr 14",23764851,23772057,"protein_coding",108309,"distant candidate",-26,"inter clus 26",0
"FMO5","FMO5","_","bi",0,0,7.7,92.3,0,26,0,5,2,3,"0.00 (0/3)","chr 1",146646929,146714700,"protein_coding",87073,"distant candidate",-2,"inter clus 2",0
"RSL24D1","RSL24D1","_","bi",0,0,5.1,92.3,2.6,39,0,70,0,2,"0.00 (0/2)","chr 15",55473003,55489265,"protein_coding",73421,"distant candidate",-28,"inter clus 28",0
"ULK4","ULK4","_","bi",0,0,7.7,92.3,0,26,0,10,8,10,"0.00 (0/10)","chr 3",41288089,42003922,"protein_coding",150048,"distant candidate",-4,"inter clus 4",0
"BAG2","BAG2","_","bi",0,0,7.9,92.1,0,38,0,9,1,6,"0.00 (0/6)","chr 6",57037123,57054631,"protein_coding",87050,"distant candidate",-7,"inter clus 7",0
"SLC39A11","SLC39A11","_","bi",0,0,5.3,92.1,2.6,38,0,25,4,7,"0.00 (0/7)","chr 17",70642087,71088851,"protein_coding",122754,"distant candidate",-29,"inter clus 29",0
